"PlotID","lon","lat","hii","age_yr","elem_m"
1,-157.880206,21.406344,38,2400000,395.179779052734
2,-154.910211,19.443586,22,575,129.657791137695
3,-154.910211,19.443586,22,575,129.657791137695
4,-154.910211,19.443586,22,575,129.657791137695
5,-154.910211,19.443586,22,575,129.657791137695
6,-154.910211,19.443586,22,575,129.657791137695
7,-154.910211,19.443586,22,575,129.657791137695
8,-154.910211,19.443586,22,575,129.657791137695
9,-154.910211,19.443586,22,575,129.657791137695
10,-154.910211,19.443586,22,575,129.657791137695
11,-154.910211,19.443586,22,575,129.657791137695
12,-154.910211,19.443586,22,575,129.657791137695
13,-154.910211,19.443586,22,575,129.657791137695
14,-154.910211,19.443586,22,575,129.657791137695
15,-156.228992,20.779832,12.5812149047852,545000,1844.94592285156
16,-155.184747,19.327124,17.4435195922852,1033.5,735.716552734375
17,-155.183294,19.326618,17.4435195922852,1033.5,735.716552734375
18,-155.252263,19.403232,15.5006103515625,1033.5,1132.173828125
19,-156.135134499624,20.7075815949577,17,545000,2212.2275390625
20,-156.088305797246,20.6904834609909,14.2297592163086,21500,916.953063964844
21,-156.113628210961,20.7316590594055,12,545000,1966.75183105469
22,-156.11424837775,20.7065374748014,12,21500,1523.04760742188
23,-156.112575583867,20.7062115118964,12,21500,1523.04760742188
24,-156.095650890638,20.6961863305729,12,21500,1099.16589355469
25,-156.090412820619,20.6921710531845,14.2297592163086,21500,975.877807617188
26,-156.104872469679,20.7056577985689,12,21500,1371.31091308594
27,-156.123122471808,20.7131677139381,15.4759092330933,21500,1663.263671875
28,-156.1110556532,20.6932679431706,12,545000,1591.66552734375
29,-156.09242991326,20.683484863738,15.6291666030884,545000,1151.20422363281
30,-156.092158019284,20.6811422302236,15.6291666030884,545000,1063.13354492188
31,-156.106695471761,20.7137317487841,12,21500,1336.15966796875
32,-156.099386417312,20.7141322374686,12,21500,1190.22448730469
33,-156.099415260639,20.7131216759929,12,21500,1190.22448730469
34,-156.081391960053,20.6888408184836,14.2297592163086,21500,831.798095703125
35,-156.084016110217,20.690067833358,14.2297592163086,21500,874.281066894531
36,-156.11202893071,20.6945571223736,12,545000,1628.43896484375
37,-156.082058748661,20.6890868246579,14.2297592163086,21500,831.798095703125
38,-156.09255117472,20.6851749961907,14.2297592163086,545000,1213.4609375
39,-156.100350007875,20.7169378931642,12,21500,1215.2255859375
40,-156.100467405907,20.7158114701556,12,21500,1208.40942382812
41,-156.110406403513,20.6920925261221,12,545000,1591.66552734375
42,-156.09867188485,20.7113488341472,12,21500,1136.37634277344
43,-156.100745059114,20.7183618258824,12,21500,1215.2255859375
44,-156.080541561721,20.6816498409796,16,21500,731.139831542969
45,-156.090071158121,20.7055435416876,12,21500,998.085388183594
46,-156.109147474883,20.7063706079119,12,21500,1458.96984863281
47,-156.103513612238,20.7110241940671,12,21500,1286.72570800781
48,-156.094607065711,20.7292804288692,12,21500,1703.31591796875
49,-156.099811403135,20.6988653456357,12,21500,1227.46459960938
50,-157.743028,21.316545,38,2400000,454.431640625
51,-155.411498170078,19.4895190952694,6,2250,2268.30200195312
52,-155.545551877565,19.3107616433695,6,1125,2040.92834472656
53,-155.554061586832,19.3423661346721,6,2250,2409.46923828125
54,-155.7421494549,19.4060048852486,8,2250,2213.98388671875
55,-155.406926008077,19.484929014037,6,2250,2196.49926757812
56,-155.391786410486,19.4902051380758,6,2250,2079.0185546875
57,-155.550890013405,19.3317277213529,6,1125,2269.41430664062
58,-155.555882314787,19.297965687704,7.61707973480225,2250,2017.35095214844
59,-155.574358357426,19.2959270071373,6,2250,2142.82153320312
60,-155.560506846501,19.3023889088873,6,2250,2087.9541015625
61,-155.600690246458,19.2668560399663,8.86674308776855,1125,2013.25134277344
62,-155.527164124727,19.3292047195785,6,1125,2025.93872070312
63,-155.554579520583,19.3493573442372,6,2250,2489.65747070312
64,-155.403735482884,19.5132564145204,6,8000,2366.10498046875
65,-155.740004375435,19.3944076717657,8.439866065979,2250,2261.53149414062
66,-155.552124478822,19.3266895790475,6,1125,2226.01416015625
67,-155.583347900272,19.2754549822518,8.00798606872559,1125,2000.31457519531
68,-155.565224744248,19.3103415040503,6,2250,2194.05737304688
69,-155.560040835352,19.3084999252017,6,2250,2142.78588867188
70,-155.554350831744,19.3383345667375,6,2250,2356.728515625
71,-155.591915228488,19.2554672899543,10,20500,1869.88171386719
72,-155.683889194518,19.1432738389637,10,2250,1318.22497558594
73,-155.680148282049,19.1222440072903,10,2250,1156.9619140625
74,-155.679154107447,19.1041809102729,10,2250,988.593933105469
75,-155.68128792746,19.1239881922151,10,2250,1177.97631835938
76,-155.679507713742,19.1078508767305,10,2250,1038.48364257812
77,-155.682259169056,19.1329495805133,10,2250,1243.67468261719
78,-155.579799994012,19.2656802620036,10,1125,1891.36938476562
79,-155.604026943525,19.2451272863195,10,2250,1877.64611816406
80,-155.664037144528,19.1908970631664,10,475,1661.31396484375
81,-155.608034323164,19.2400133446564,10,2250,1842.67395019531
82,-155.600402175363,19.2516082987534,10,2250,1895.82055664062
83,-155.608965711679,19.2448040587541,10,2250,1887.67492675781
84,-155.661838998027,19.1925001795034,10,475,1670.68249511719
85,-155.678143831242,19.1057397075502,10,2250,1012.85852050781
86,-155.671083862622,19.0967312383371,10,2250,905.770812988281
87,-155.683902712144,19.1200130798578,10,2250,1143.3759765625
88,-155.686461339889,19.1425228960872,10,2250,1325.97290039062
89,-155.686238044959,19.1398804591377,10,2250,1307.04760742188
90,-155.68572325221,19.1344882206077,10,2250,1264.78356933594
